Município;Cargo;Nome;Partido;Genero
CAMUTANGA;VEREADOR;FERNANDO DE VUNDA;PV;MASCULINO
CAMUTANGA;VEREADOR;KARLOS MARONE;PV;MASCULINO
CAMUTANGA;VEREADOR;LULINHA;PV;MASCULINO
FREI MIGUELINHO;VEREADOR;MOROT√ì;PODE;MASCULINO
LAGOA DO CARRO;VEREADOR;S√âRGIO VASCONCELOS;REDE;MASCULINO
LAGOA DO CARRO;VEREADOR;IR BOSCO;PSDB;MASCULINO
MOREIL√ÇNDIA;VEREADOR;HEDUARDA OLIVEIRA;PSDB;FEMININO
MOREIL√ÇNDIA;VEREADOR;CARLOS BEZERRA;PSDB;MASCULINO
OLINDA;VEREADOR;SIMPLICIO;PV;MASCULINO
OLINDA;VEREADOR;IRAN BARBOSA;DC;MASCULINO
OLINDA;VEREADOR;FELIPE NASCIMENTO;PSD;MASCULINO
OLINDA;VEREADOR;SAULO HOLANDA;MDB;MASCULINO
POMBOS;VEREADOR;BETO LANCHE;PP;MASCULINO
POMBOS;VEREADOR;NANINHO BA√â;PP;MASCULINO
S√ÉO CAITANO;VEREADOR;NETO RAMOS;UNI√ÉO;MASCULINO
S√ÉO VICENTE F√âRRER;VEREADOR;MANOEL DA VENDA;PSB;MASCULINO
DORMENTES;VEREADOR;JACSON REIS;UNI√ÉO;MASCULINO
DORMENTES;VEREADOR;CORRINHA DA SA√öDE;PSB;FEMININO
DORMENTES;VEREADOR;PAULO MACEDO;PSB;MASCULINO
IBIRAJUBA;VEREADOR;AD√ÅLIO;REPUBLICANOS;MASCULINO
IBIRAJUBA;VEREADOR;TIAGUINHO;PSDB;MASCULINO
GRAVAT√Å;PREFEITO;PADRE JOSELITO;AVANTE;MASCULINO
IATI;PREFEITO;CAMILA SOUZA;PSB;FEMININO
SANHAR√ì;PREFEITO;C√âSAR FREITAS;PC do B;MASCULINO
GRANITO;PREFEITO;GEORGE DE SIDNEY;PT;MASCULINO
SOLID√ÉO;PREFEITO;MAYCO DA FARM√ÅCIA;PSB;MASCULINO
AFR√ÇNIO;VEREADOR;ROMAYNE MACEDO;PODE;FEMININO
CARNA√çBA;VEREADOR;CALANGO;PSB;MASCULINO
CARNA√çBA;VEREADOR;IZAQUELLE DA IT√É;PT;FEMININO
CARNA√çBA;VEREADOR;MATHEUS FRANCISCO;UNI√ÉO;MASCULINO
CH√É GRANDE;VEREADOR;C√âLIA DE JACI;SOLIDARIEDADE;FEMININO
CH√É GRANDE;VEREADOR;ADEMIR BATISTA;AVANTE;MASCULINO
CH√É GRANDE;VEREADOR;NINHA DE Z√â MARIA;AVANTE;FEMININO
CUPIRA;VEREADOR;EDVAN;PP;MASCULINO
CUPIRA;VEREADOR;TAINE EDUARDA;PSDB;FEMININO
GAMELEIRA;VEREADOR;REGINALDO VEREADOR;PSD;MASCULINO
GAMELEIRA;VEREADOR;LOIDE RODRIGUES;PP;FEMININO
GAMELEIRA;VEREADOR;LUCAS PREDADORES;UNI√ÉO;MASCULINO
LIMOEIRO;VEREADOR;Z√ìZIMO;PODE;MASCULINO
PALMEIRINA;VEREADOR;JAILTON;PSDB;MASCULINO
PALMEIRINA;VEREADOR;PRETA AGENTE DE SA√öDE;PP;FEMININO
SANTA TEREZINHA;VEREADOR;JO√ÉO LUCAS MARTINS;UNI√ÉO;MASCULINO
AFOGADOS DA INGAZEIRA;VEREADOR;CES√ÅR TEN√ìRIO;PSB;MASCULINO
AFOGADOS DA INGAZEIRA;VEREADOR;LUCINEIDE DO SINDICATO;PT;FEMININO
BREJ√ÉO;VEREADOR;CICERO DIONISIO;PP;MASCULINO
BREJ√ÉO;VEREADOR;CABEU;MDB;MASCULINO
BREJ√ÉO;VEREADOR;DICINHO;REPUBLICANOS;MASCULINO
CUST√ìDIA;VEREADOR;CRISTIANO;PP;MASCULINO
CUST√ìDIA;VEREADOR;BITCHO GOIS;AVANTE;MASCULINO
MACAPARANA;VEREADOR;RICARDO DE SIOMARA;PP;MASCULINO
MACAPARANA;VEREADOR;Z√â LE√îNCIO;PODE;MASCULINO
MANARI;VEREADOR;GERMIRO;PP;MASCULINO
MANARI;VEREADOR;PINTO DO GARROTE;PSDB;MASCULINO
MANARI;VEREADOR;ROM√ÉO;PSDB;MASCULINO
S√ÉO JOS√â DA COROA GRANDE;VEREADOR;RAEL DE DEL;PSB;MASCULINO
VERTENTE DO L√âRIO;VEREADOR;NELSON ENFEMEIRO;PSB;MASCULINO
ALIAN√áA;VEREADOR;TOTONHO;PP;MASCULINO
ARA√áOIABA;VEREADOR;ALEGRIA DA SA√öDE;PT;MASCULINO
IPOJUCA;VEREADOR;FL√ÅVIO DO CART√ìRIO;PSD;MASCULINO
IPOJUCA;VEREADOR;ALB√âRICO DA COBAL;PP;MASCULINO
IPOJUCA;VEREADOR;JULINHO MARINHO;PP;MASCULINO
IPOJUCA;VEREADOR;DEOCL√âCIO LIRA;REPUBLICANOS;MASCULINO
LAGOA GRANDE;VEREADOR;MANTENA;PSD;MASCULINO
PANELAS;VEREADOR;EVERALDO DE CRUZES;PSB;MASCULINO
√ÅGUA PRETA;VEREADOR;FAFAL;PSB;MASCULINO
√ÅGUA PRETA;VEREADOR;BELLA DE NYKOLLAS;PRD;FEMININO
LAGOA DOS GATOS;VEREADOR;LUCIANO CAMBUTA;PP;MASCULINO
PALMARES;VEREADOR;FELIPE F20;PP;MASCULINO
PALMARES;VEREADOR;CLAUDIO SALES;PT;MASCULINO
PESQUEIRA;VEREADOR;NEGA DE BIL;PP;FEMININO
S√ÉO JOS√â DO EGITO;VEREADOR;VICENTE DE VEV√âI;REPUBLICANOS;MASCULINO
S√ÉO JOS√â DO EGITO;VEREADOR;ROMERINHO DANTAS;PSB;MASCULINO
TORITAMA;VEREADOR;MAVA;MDB;MASCULINO
TORITAMA;VEREADOR;MARIANA DE ROMERINHO;PSDB;FEMININO
TORITAMA;VEREADOR;PAULO TAVARES;PL;MASCULINO
TORITAMA;VEREADOR;MATHEUS SANTANA;PL;MASCULINO
CORT√äS;PREFEITO;FATIMA BORBA;PSDB;FEMININO
BREJO DA MADRE DE DEUS;PREFEITO;ROBERTO ASFORA;PP;MASCULINO
CABO DE SANTO AGOSTINHO;PREFEITO;LULA CABRAL;SOLIDARIEDADE;MASCULINO
AGRESTINA;VEREADOR;EMILIA DE JOAO BARRAO;PSDB;FEMININO
AGRESTINA;VEREADOR;SAULO BATISTA;PSDB;MASCULINO
AGRESTINA;VEREADOR;CAIO DAMASCENO;REPUBLICANOS;MASCULINO
ARARIPINA;VEREADOR;NAICON ARRUDA;PODE;MASCULINO
SALGUEIRO;VEREADOR;BALDIN;PRD;MASCULINO
SALGUEIRO;VEREADOR;S√ÅVIO PIRES;PRD;MASCULINO
SANTA MARIA DA BOA VISTA;VEREADOR;VAGNER CASTRO;AVANTE;MASCULINO
SANTA MARIA DA BOA VISTA;VEREADOR;√äNIO OLIVEIRA;UNI√ÉO;MASCULINO
SOLID√ÉO;VEREADOR;GENIVALDO BARROS;PSB;MASCULINO
TAQUARITINGA DO NORTE;VEREADOR;FELIPE MARTINHO;PDT;MASCULINO
ANGELIM;VEREADOR;J√öNIOR CALDAS;PSB;MASCULINO
BODOC√ì;VEREADOR;PEDRO PEDROSA;MDB;MASCULINO
